trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
169,False,"{'a': 0.002, 'e': 0.037454151268726955}",30,11,23.52720416991556,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 0}",1
170,False,"{'a': 0.002, 'e': 0.03531007585199676}",30,22,17.28445563893347,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
171,False,"{'a': 0.002, 'e': 0.033265121278836726}",30,16,26.390733289083354,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
172,False,"{'a': 0.002, 'e': 0.03131622356260831}",25,14,23.29612431700133,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
173,False,"{'a': 0.002, 'e': 0.029460323486657312}",20,13,11.924528954873768,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
174,False,"{'a': 0.002, 'e': 0.027694372393784927}",25,20,10.276666949562692,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
175,False,"{'a': 0.002, 'e': 0.026015337726155306}",25,11,22.8431541682347,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
176,False,"{'a': 0.002, 'e': 0.024420208306639924}",35,17,34.082372635549945,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
177,False,"{'a': 0.002, 'e': 0.02290599935390743}",25,19,10.699540752929542,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
178,False,"{'a': 0.002, 'e': 0.021469757224871017}",20,14,12.453159987333404,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
179,False,"{'a': 0.002, 'e': 0.020108563879397055}",20,9,21.71212154796808,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
180,False,"{'a': 0.002, 'e': 0.018819541063452554}",20,9,25.06546460573109,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
181,False,"{'a': 0.002, 'e': 0.01759985420811813}",20,0,27.975958005721882,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
182,False,"{'a': 0.002, 'e': 0.016446716043112326}",20,6,25.01562997607004,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
183,False,"{'a': 0.002, 'e': 0.015357389924656361}",30,12,34.626665955873,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
